season,school,player_name,jersey_number,position,class_year,height,weight,hometown,high_school,profile_url,roster_url,team_record_2025,team_w_2025,team_l_2025,team_t_2025
2025,California,Maddox Arlett,4,"Defender D 6'5""",So.,6-5,,Laguna Hills,,https://calbears.com/sports/mens-water-polo/roster/maddox-arlett/26807,https://calbears.com/sports/mens-water-polo/roster,Season Records Overall 15-8 Overall PCT Conf 1-5 Conf. PCT Streak L2 Home 6-2 Away 2-4 Neutral 7-2,30,20,
2025,California,Dominic Brown,5,"Center C 6'6"" 230 lbs",R-So.,6-6,,"Concord, Calif.",,https://calbears.com/sports/mens-water-polo/roster/dominic-brown/26925,https://calbears.com/sports/mens-water-polo/roster,Season Records Overall 15-8 Overall PCT Conf 1-5 Conf. PCT Streak L2 Home 6-2 Away 2-4 Neutral 7-2,30,20,
2025,California,Dominic Brown,5,"Center C 6'6"" 230 lbs",R-So.,6-6,,"Concord, Calif.",,https://calbears.com/sports/mens-water-polo/roster/dominic-brown/26925,https://calbears.com/sports/mens-water-polo/roster,Season Records Overall 15-8 Overall PCT Conf 1-5 Conf. PCT Streak L2 Home 6-2 Away 2-4 Neutral 7-2,30,20,
2025,California,Chase Wilson,6,"Center C 6'1""",Jr.,6-1,,"New York, N.Y.",,https://calbears.com/sports/mens-water-polo/roster/chase-wilson/26923,https://calbears.com/sports/mens-water-polo/roster,Season Records Overall 15-8 Overall PCT Conf 1-5 Conf. PCT Streak L2 Home 6-2 Away 2-4 Neutral 7-2,30,20,
2025,California,Chase Wilson,6,"Center C 6'1""",Jr.,6-1,,"New York, N.Y.",,https://calbears.com/sports/mens-water-polo/roster/chase-wilson/26923,https://calbears.com/sports/mens-water-polo/roster,Season Records Overall 15-8 Overall PCT Conf 1-5 Conf. PCT Streak L2 Home 6-2 Away 2-4 Neutral 7-2,30,20,
2025,California,Albert Ponferrada,7,"Attacker A 6'4"" 215 lbs",Sr.,6-4,,"Barcelona, Spain",,https://calbears.com/sports/mens-water-polo/roster/albert-ponferrada/26818,https://calbears.com/sports/mens-water-polo/roster,Season Records Overall 15-8 Overall PCT Conf 1-5 Conf. PCT Streak L2 Home 6-2 Away 2-4 Neutral 7-2,30,20,
2025,California,Albert Ponferrada,7,"Attacker A 6'4"" 215 lbs",Sr.,6-4,,"Barcelona, Spain",,https://calbears.com/sports/mens-water-polo/roster/albert-ponferrada/26818,https://calbears.com/sports/mens-water-polo/roster,Season Records Overall 15-8 Overall PCT Conf 1-5 Conf. PCT Streak L2 Home 6-2 Away 2-4 Neutral 7-2,30,20,
2025,California,Beso Akhvlediani,8,Attacker ATT,Fr.,,,"Tbilisi, Georgia",,https://calbears.com/sports/mens-water-polo/roster/beso-akhvlediani/26929,https://calbears.com/sports/mens-water-polo/roster,Season Records Overall 15-8 Overall PCT Conf 1-5 Conf. PCT Streak L2 Home 6-2 Away 2-4 Neutral 7-2,30,20,
2025,California,Beso Akhvlediani,8,Attacker ATT,Fr.,,,"Tbilisi, Georgia",,https://calbears.com/sports/mens-water-polo/roster/beso-akhvlediani/26929,https://calbears.com/sports/mens-water-polo/roster,Season Records Overall 15-8 Overall PCT Conf 1-5 Conf. PCT Streak L2 Home 6-2 Away 2-4 Neutral 7-2,30,20,
2025,California,Milan Sumich,9,"Defender D 6'7""",Fr.,6-7,,,,https://calbears.com/sports/mens-water-polo/roster/milan-sumich/26931,https://calbears.com/sports/mens-water-polo/roster,Season Records Overall 15-8 Overall PCT Conf 1-5 Conf. PCT Streak L2 Home 6-2 Away 2-4 Neutral 7-2,30,20,
2025,California,Milan Sumich,9,"Defender D 6'7""",Fr.,6-7,,,,https://calbears.com/sports/mens-water-polo/roster/milan-sumich/26931,https://calbears.com/sports/mens-water-polo/roster,Season Records Overall 15-8 Overall PCT Conf 1-5 Conf. PCT Streak L2 Home 6-2 Away 2-4 Neutral 7-2,30,20,
2025,California,Loui Schuler,10,Utility UT,Gr.,,,,,https://calbears.com/sports/mens-water-polo/roster/loui-schuler/26930,https://calbears.com/sports/mens-water-polo/roster,Season Records Overall 15-8 Overall PCT Conf 1-5 Conf. PCT Streak L2 Home 6-2 Away 2-4 Neutral 7-2,30,20,
2025,California,Loui Schuler,10,Utility UT,Gr.,,,,,https://calbears.com/sports/mens-water-polo/roster/loui-schuler/26930,https://calbears.com/sports/mens-water-polo/roster,Season Records Overall 15-8 Overall PCT Conf 1-5 Conf. PCT Streak L2 Home 6-2 Away 2-4 Neutral 7-2,30,20,
2025,California,Alex Oprea,11,"Attacker A 6'4"" 225 lbs",So.,6-4,,"Downey, Calif.",,https://calbears.com/sports/mens-water-polo/roster/alex-oprea/26815,https://calbears.com/sports/mens-water-polo/roster,Season Records Overall 15-8 Overall PCT Conf 1-5 Conf. PCT Streak L2 Home 6-2 Away 2-4 Neutral 7-2,30,20,
2025,California,Alex Oprea,11,"Attacker A 6'4"" 225 lbs",So.,6-4,,"Downey, Calif.",,https://calbears.com/sports/mens-water-polo/roster/alex-oprea/26815,https://calbears.com/sports/mens-water-polo/roster,Season Records Overall 15-8 Overall PCT Conf 1-5 Conf. PCT Streak L2 Home 6-2 Away 2-4 Neutral 7-2,30,20,
2025,California,Marci Szatmary,12,"Attacker A 6'2"" 205 lbs",Sr.,6-2,,"San Diego, Calif.",,https://calbears.com/sports/mens-water-polo/roster/marci-szatmary/26819,https://calbears.com/sports/mens-water-polo/roster,Season Records Overall 15-8 Overall PCT Conf 1-5 Conf. PCT Streak L2 Home 6-2 Away 2-4 Neutral 7-2,30,20,
2025,California,Marci Szatmary,12,"Attacker A 6'2"" 205 lbs",Sr.,6-2,,"San Diego, Calif.",,https://calbears.com/sports/mens-water-polo/roster/marci-szatmary/26819,https://calbears.com/sports/mens-water-polo/roster,Season Records Overall 15-8 Overall PCT Conf 1-5 Conf. PCT Streak L2 Home 6-2 Away 2-4 Neutral 7-2,30,20,
2025,California,Patrik Kolak,13,"Utility UT 6'2"" 198 lbs",So.,6-2,,"Dubrovnik, Croatia",,https://calbears.com/sports/mens-water-polo/roster/patrik-kolak/26813,https://calbears.com/sports/mens-water-polo/roster,Season Records Overall 15-8 Overall PCT Conf 1-5 Conf. PCT Streak L2 Home 6-2 Away 2-4 Neutral 7-2,30,20,
2025,California,Patrik Kolak,13,"Utility UT 6'2"" 198 lbs",So.,6-2,,"Dubrovnik, Croatia",,https://calbears.com/sports/mens-water-polo/roster/patrik-kolak/26813,https://calbears.com/sports/mens-water-polo/roster,Season Records Overall 15-8 Overall PCT Conf 1-5 Conf. PCT Streak L2 Home 6-2 Away 2-4 Neutral 7-2,30,20,
2025,California,Brennan Fuchslin,14,"Attacker A 6'2"" 190 lbs",So.,6-2,,"Dixon, Calif.",,https://calbears.com/sports/mens-water-polo/roster/brennan-fuchslin/26810,https://calbears.com/sports/mens-water-polo/roster,Season Records Overall 15-8 Overall PCT Conf 1-5 Conf. PCT Streak L2 Home 6-2 Away 2-4 Neutral 7-2,30,20,
