school,record,player_name,position,height,hometown,class_year,source_url
Fordham,,2 Balazs Berenyi,,6-4,"Budapest, Hungary",Sr.,https://fordhamsports.com/sports/mens-water-polo/roster
Fordham,,3 Andras Toth,,6-2,"Pecs, Hungary",So.,https://fordhamsports.com/sports/mens-water-polo/roster
Fordham,,4 Mark Dyck,,6-2,"Berlin, Germany",Fr.,https://fordhamsports.com/sports/mens-water-polo/roster
Fordham,,6 Kyle Thomas,,6-2,"Covina, Calif.",Gr.,https://fordhamsports.com/sports/mens-water-polo/roster
Fordham,,7 Reid Thorson,,6-6,"Lafayette, Calif.",Jr.,https://fordhamsports.com/sports/mens-water-polo/roster
Fordham,,8 Luca Silvestri,,6-3,"Napoli, Italy",Gr.,https://fordhamsports.com/sports/mens-water-polo/roster
Fordham,,9 Christopher Gray,,6-1,"Johannesburg, South Africa",Jr.,https://fordhamsports.com/sports/mens-water-polo/roster
Fordham,,10 Barnabas Eppel,,6-3,"Budapest, Hungary",Jr.,https://fordhamsports.com/sports/mens-water-polo/roster
Fordham,,11 Marco Napolitano,,6-1,"Naples, Italy",Gr.,https://fordhamsports.com/sports/mens-water-polo/roster
Fordham,,12 Csongor Bartuszek,,6-3,"Greenwich, Conn.",So.,https://fordhamsports.com/sports/mens-water-polo/roster
Fordham,,15 Diego Tresa,,6-7,"Rome, Italy",Fr.,https://fordhamsports.com/sports/mens-water-polo/roster
Fordham,,16 Charlie Martin,,5-11,"San Diego, Calif.",Fr.,https://fordhamsports.com/sports/mens-water-polo/roster
Fordham,,17 Brendan Cassidy,,6-1,"San Rafael, Calif.",Sr.,https://fordhamsports.com/sports/mens-water-polo/roster
Fordham,,18 Luca Provenziani,,6-0,"Rome, Italy",So.,https://fordhamsports.com/sports/mens-water-polo/roster
Fordham,,20 Gianni Farrugia,,6-1,"Iklin, Malta",Gr.,https://fordhamsports.com/sports/mens-water-polo/roster
Fordham,,21 Soren Jessen,,6-2,"San Rafael, Calif.",Fr.,https://fordhamsports.com/sports/mens-water-polo/roster
Fordham,,22 Alessandro Salipante,,6-3,"Brindisi, Italy",Fr.,https://fordhamsports.com/sports/mens-water-polo/roster
Fordham,,23 Sean O'Neill,,5-10,"Thousand Oaks, Calif.",So.,https://fordhamsports.com/sports/mens-water-polo/roster
Long Beach State,,,,,"San Jose, Calif.",,https://longbeachstate.com/sports/mens-water-polo/roster
Long Beach State,,,,,"Naperville, Ill.",,https://longbeachstate.com/sports/mens-water-polo/roster
Long Beach State,,,,,"Barcelona, Spain",,https://longbeachstate.com/sports/mens-water-polo/roster
Long Beach State,,,,,"San Clemente, Calif.",,https://longbeachstate.com/sports/mens-water-polo/roster
Long Beach State,,,,,"Yorba Linda, Calif.",,https://longbeachstate.com/sports/mens-water-polo/roster
Long Beach State,,,,,"Yorba Linda, Calif.",,https://longbeachstate.com/sports/mens-water-polo/roster
Long Beach State,,,,,"Barcelona, Spain",,https://longbeachstate.com/sports/mens-water-polo/roster
Long Beach State,,,,,"Long Beach, Calif.",,https://longbeachstate.com/sports/mens-water-polo/roster
Long Beach State,,,,,"Eger, Hungary",,https://longbeachstate.com/sports/mens-water-polo/roster
Long Beach State,,,,,"Sydney, Australia",,https://longbeachstate.com/sports/mens-water-polo/roster
Long Beach State,,,,,"Hagor, Israel",,https://longbeachstate.com/sports/mens-water-polo/roster
Long Beach State,,,,,"Montreal, Quebec",,https://longbeachstate.com/sports/mens-water-polo/roster
Long Beach State,,,,,"Sao Paulo, Brazil",,https://longbeachstate.com/sports/mens-water-polo/roster
Long Beach State,,,,,"Budapest, Hungary",,https://longbeachstate.com/sports/mens-water-polo/roster
Long Beach State,,,,,"Elk Grove, Calif.",,https://longbeachstate.com/sports/mens-water-polo/roster
Long Beach State,,,,,"Thessaloniki, Greece",,https://longbeachstate.com/sports/mens-water-polo/roster
Long Beach State,,,,,"Encino, Calif.",,https://longbeachstate.com/sports/mens-water-polo/roster
Long Beach State,,,,,"Belgrade, Serbia",,https://longbeachstate.com/sports/mens-water-polo/roster
Long Beach State,,,,,"Budapest, Hungary",,https://longbeachstate.com/sports/mens-water-polo/roster
Long Beach State,,,,,"Barcelona, Spain",,https://longbeachstate.com/sports/mens-water-polo/roster
Long Beach State,,,,,"Windermere, Fla.",,https://longbeachstate.com/sports/mens-water-polo/roster
Long Beach State,,,,,"Barcelona, Spain",,https://longbeachstate.com/sports/mens-water-polo/roster
Long Beach State,,,,,"Auckland, New Zealand",,https://longbeachstate.com/sports/mens-water-polo/roster
Long Beach State,,,,,"San Jose, Calif.",,https://longbeachstate.com/sports/mens-water-polo/roster
Long Beach State,,,,,"Naperville, Ill.",,https://longbeachstate.com/sports/mens-water-polo/roster
Long Beach State,,,,,"Barcelona, Spain",,https://longbeachstate.com/sports/mens-water-polo/roster
Long Beach State,,,,,"San Clemente, Calif.",,https://longbeachstate.com/sports/mens-water-polo/roster
Long Beach State,,,,,"Yorba Linda, Calif.",,https://longbeachstate.com/sports/mens-water-polo/roster
Long Beach State,,,,,"Yorba Linda, Calif.",,https://longbeachstate.com/sports/mens-water-polo/roster
Long Beach State,,,,,"Barcelona, Spain",,https://longbeachstate.com/sports/mens-water-polo/roster
Long Beach State,,,,,"Long Beach, Calif.",,https://longbeachstate.com/sports/mens-water-polo/roster
Long Beach State,,,,,"Eger, Hungary",,https://longbeachstate.com/sports/mens-water-polo/roster
Long Beach State,,,,,"Sydney, Australia",,https://longbeachstate.com/sports/mens-water-polo/roster
Long Beach State,,,,,"Hagor, Israel",,https://longbeachstate.com/sports/mens-water-polo/roster
Long Beach State,,,,,"Montreal, Quebec",,https://longbeachstate.com/sports/mens-water-polo/roster
Long Beach State,,,,,"Sao Paulo, Brazil",,https://longbeachstate.com/sports/mens-water-polo/roster
Long Beach State,,,,,"Budapest, Hungary",,https://longbeachstate.com/sports/mens-water-polo/roster
Long Beach State,,,,,"Elk Grove, Calif.",,https://longbeachstate.com/sports/mens-water-polo/roster
Long Beach State,,,,,"Thessaloniki, Greece",,https://longbeachstate.com/sports/mens-water-polo/roster
Long Beach State,,,,,"Encino, Calif.",,https://longbeachstate.com/sports/mens-water-polo/roster
Long Beach State,,,,,"Belgrade, Serbia",,https://longbeachstate.com/sports/mens-water-polo/roster
Long Beach State,,,,,"Budapest, Hungary",,https://longbeachstate.com/sports/mens-water-polo/roster
Long Beach State,,,,,"Barcelona, Spain",,https://longbeachstate.com/sports/mens-water-polo/roster
Long Beach State,,,,,"Windermere, Fla.",,https://longbeachstate.com/sports/mens-water-polo/roster
Long Beach State,,,,,"Barcelona, Spain",,https://longbeachstate.com/sports/mens-water-polo/roster
Long Beach State,,,,,"Auckland, New Zealand",,https://longbeachstate.com/sports/mens-water-polo/roster
UC San Diego,,1 Alex Hegeman,,6-5,"San Jose, Calif.",R-Fr.,https://ucsdtritons.com/sports/mens-water-polo/roster
UC San Diego,,1A Winston Loh,,6-2,"Fullerton, Calif.",Sr.,https://ucsdtritons.com/sports/mens-water-polo/roster
UC San Diego,,2 Landon Akerstrom,,6-5,"Costa Mesa, Calif.",Jr.,https://ucsdtritons.com/sports/mens-water-polo/roster
UC San Diego,,3 Eamon Hennessey,,6-5,"Newport Beach, Calif.",Sr.,https://ucsdtritons.com/sports/mens-water-polo/roster
UC San Diego,,4 Ante Buzov,,6-7,"Split, Croatia",Sr.,https://ucsdtritons.com/sports/mens-water-polo/roster
UC San Diego,,5 Finn Bugelli,,6-4,"La Jolla, Calif.",Jr.,https://ucsdtritons.com/sports/mens-water-polo/roster
UC San Diego,,6 Felipe Ferreira,,6-3,"Rio de Janeiro, Brazil",Gr.,https://ucsdtritons.com/sports/mens-water-polo/roster
UC San Diego,,7 Lucas Romaguera,,6-3,"Rio de Janeiro, Brazil",Sr.,https://ucsdtritons.com/sports/mens-water-polo/roster
UC San Diego,,8 Mark Laurlund,,6-4,"Alamo, Calif.",Jr.,https://ucsdtritons.com/sports/mens-water-polo/roster
UC San Diego,,9 Jaime Bhattacharyya,,6-4,"Honolulu, Hawai‘i",R-So.,https://ucsdtritons.com/sports/mens-water-polo/roster
UC San Diego,,10 Reef Lippa,,6-0,"Thousand Oaks, Calif.",R-Jr.,https://ucsdtritons.com/sports/mens-water-polo/roster
UC San Diego,,11 Luca Rago,,6-1,"Moraga, Calif.",Sr.,https://ucsdtritons.com/sports/mens-water-polo/roster
UC San Diego,,12 Bennett Axline,,6-3,"Rancho Bernardo, Calif.",Sr.,https://ucsdtritons.com/sports/mens-water-polo/roster
UC San Diego,,13 Brendon Fezzey,,6-6,"Riverside, Calif.",Sr.,https://ucsdtritons.com/sports/mens-water-polo/roster
UC San Diego,,14 Nolan Roberts,,6-1,"Redondo Beach, Calif.",Jr.,https://ucsdtritons.com/sports/mens-water-polo/roster
UC San Diego,,15 Grant Kurtz,,6-1,"Orinda, Calif.",So.,https://ucsdtritons.com/sports/mens-water-polo/roster
UC San Diego,,16 Cole Harman,,5-8,"Santee, Calif.",R-Fr.,https://ucsdtritons.com/sports/mens-water-polo/roster
UC San Diego,,17 Christian Hammonds,,6-2,"Fountain Valley, Calif.",So.,https://ucsdtritons.com/sports/mens-water-polo/roster
UC San Diego,,18 Lachlan Rossi,,6-3,"San Jose, Calif.",So.,https://ucsdtritons.com/sports/mens-water-polo/roster
UC San Diego,,19 Liam Amburgey,,6-3,"Los Gatos, Calif.",R-Fr.,https://ucsdtritons.com/sports/mens-water-polo/roster
UC San Diego,,20 Dusan Djordjevic,,6-2,"Huntington Beach, Calif.",Fr.,https://ucsdtritons.com/sports/mens-water-polo/roster
UC San Diego,,21 Jackson Boettner,,6-3,"San Jose, Calif.",Fr.,https://ucsdtritons.com/sports/mens-water-polo/roster
UC San Diego,,22 Kyson Becker,,6-3,"Newport Beach, Calif.",Fr.,https://ucsdtritons.com/sports/mens-water-polo/roster
UC San Diego,,23 Razvan Alistar,,6-3,"West Sacamento, Calif.",R-Fr.,https://ucsdtritons.com/sports/mens-water-polo/roster
UC San Diego,,24 Mason Presley,,6-3,"Dana Point, Calif.",Jr.,https://ucsdtritons.com/sports/mens-water-polo/roster
UC San Diego,,25 Davidka Skov,,6-0,"Concord, Calif.",Fr.,https://ucsdtritons.com/sports/mens-water-polo/roster
UC San Diego,,RS Caleb Harrison,,6-3,"San Diego, Calif.",Fr.,https://ucsdtritons.com/sports/mens-water-polo/roster
Princeton,,,,,"Hódmezovásárhely, Hungary",,https://goprincetontigers.com/sports/mens-water-polo/roster
Princeton,,,,,"Cape Town, Western Cape",,https://goprincetontigers.com/sports/mens-water-polo/roster
Princeton,,,,,"Menlo Park, Calif.",,https://goprincetontigers.com/sports/mens-water-polo/roster
Princeton,,,,,"Newport Beach, Calif.",,https://goprincetontigers.com/sports/mens-water-polo/roster
Princeton,,,,,"Studio City, Calif.",,https://goprincetontigers.com/sports/mens-water-polo/roster
Princeton,,,,,"Rijeka, Croatia",,https://goprincetontigers.com/sports/mens-water-polo/roster
Princeton,,,,,"Newport Beach, Calif.",,https://goprincetontigers.com/sports/mens-water-polo/roster
Princeton,,,,,"Johannesburg, South Africa",,https://goprincetontigers.com/sports/mens-water-polo/roster
Princeton,,,,,"Budapest, Hungary",,https://goprincetontigers.com/sports/mens-water-polo/roster
Princeton,,,,,"Huntington Beach, Calif.",,https://goprincetontigers.com/sports/mens-water-polo/roster
Princeton,,,,,"Madrid, Spain",,https://goprincetontigers.com/sports/mens-water-polo/roster
Princeton,,,,,"Greenwich, Conn.",,https://goprincetontigers.com/sports/mens-water-polo/roster
Princeton,,,,,"Atherton, Calif.",,https://goprincetontigers.com/sports/mens-water-polo/roster
Princeton,,,,,"Birmingham, England",,https://goprincetontigers.com/sports/mens-water-polo/roster
Princeton,,,,,"Glendale, Calif.",,https://goprincetontigers.com/sports/mens-water-polo/roster
Princeton,,,,,"Portland, Ore.",,https://goprincetontigers.com/sports/mens-water-polo/roster
Princeton,,,,,"Dallas, Texas",,https://goprincetontigers.com/sports/mens-water-polo/roster
Princeton,,,,,"Corona Del Mar, Calif.",,https://goprincetontigers.com/sports/mens-water-polo/roster
Princeton,,,,,"Pasadena, Calif.",,https://goprincetontigers.com/sports/mens-water-polo/roster
Princeton,,,,,"Greenwich, Conn.",,https://goprincetontigers.com/sports/mens-water-polo/roster
Princeton,,,,,"Tustin, Calif.",,https://goprincetontigers.com/sports/mens-water-polo/roster
Princeton,,,,,"Laguna Beach, Calif.",,https://goprincetontigers.com/sports/mens-water-polo/roster
Princeton,,,,,"Hódmezovásárhely, Hungary",,https://goprincetontigers.com/sports/mens-water-polo/roster
Princeton,,,,,"Cape Town, Western Cape",,https://goprincetontigers.com/sports/mens-water-polo/roster
Princeton,,,,,"Menlo Park, Calif.",,https://goprincetontigers.com/sports/mens-water-polo/roster
Princeton,,,,,"Newport Beach, Calif.",,https://goprincetontigers.com/sports/mens-water-polo/roster
Princeton,,,,,"Studio City, Calif.",,https://goprincetontigers.com/sports/mens-water-polo/roster
Princeton,,,,,"Rijeka, Croatia",,https://goprincetontigers.com/sports/mens-water-polo/roster
Princeton,,,,,"Newport Beach, Calif.",,https://goprincetontigers.com/sports/mens-water-polo/roster
Princeton,,,,,"Johannesburg, South Africa",,https://goprincetontigers.com/sports/mens-water-polo/roster
Princeton,,,,,"Budapest, Hungary",,https://goprincetontigers.com/sports/mens-water-polo/roster
Princeton,,,,,"Huntington Beach, Calif.",,https://goprincetontigers.com/sports/mens-water-polo/roster
Princeton,,,,,"Madrid, Spain",,https://goprincetontigers.com/sports/mens-water-polo/roster
Princeton,,,,,"Greenwich, Conn.",,https://goprincetontigers.com/sports/mens-water-polo/roster
Princeton,,,,,"Atherton, Calif.",,https://goprincetontigers.com/sports/mens-water-polo/roster
Princeton,,,,,"Birmingham, England",,https://goprincetontigers.com/sports/mens-water-polo/roster
Princeton,,,,,"Glendale, Calif.",,https://goprincetontigers.com/sports/mens-water-polo/roster
Princeton,,,,,"Portland, Ore.",,https://goprincetontigers.com/sports/mens-water-polo/roster
Princeton,,,,,"Dallas, Texas",,https://goprincetontigers.com/sports/mens-water-polo/roster
Princeton,,,,,"Corona Del Mar, Calif.",,https://goprincetontigers.com/sports/mens-water-polo/roster
Princeton,,,,,"Pasadena, Calif.",,https://goprincetontigers.com/sports/mens-water-polo/roster
Princeton,,,,,"Greenwich, Conn.",,https://goprincetontigers.com/sports/mens-water-polo/roster
Princeton,,,,,"Tustin, Calif.",,https://goprincetontigers.com/sports/mens-water-polo/roster
Princeton,,,,,"Laguna Beach, Calif.",,https://goprincetontigers.com/sports/mens-water-polo/roster
Pepperdine,,1 Zach Cwiertnia,,6-0,"Villa Park, Calif.",Sr.,https://pepperdinewaves.com/sports/mens-water-polo/roster
Pepperdine,,1 Jaxon Leach,,6-2,"San Diego, Calif.",So.,https://pepperdinewaves.com/sports/mens-water-polo/roster
Pepperdine,,1 Max Smirnov,,6-2,"Petah Tikva, Israel",So.,https://pepperdinewaves.com/sports/mens-water-polo/roster
Pepperdine,,2 Jon Carcarey,,6-3,"Santa Maria, Calif.",Jr.,https://pepperdinewaves.com/sports/mens-water-polo/roster
Pepperdine,,3 Sandor Gal,,6-1,"Budapest, Hungary",Sr.,https://pepperdinewaves.com/sports/mens-water-polo/roster
Pepperdine,,4 Conor Brough,,6-2,"Dana Point, Calif.",Sr.,https://pepperdinewaves.com/sports/mens-water-polo/roster
Pepperdine,,5 Dane Howell,,6-3,"Huntington Beach, Calif.",Gr.,https://pepperdinewaves.com/sports/mens-water-polo/roster
Pepperdine,,6 Cade Anderton,,6-0,"Laguna Beach, Calif.",R-Fr.,https://pepperdinewaves.com/sports/mens-water-polo/roster
