season,school,player_name,jersey_number,position,class_year,height,weight,hometown,high_school,profile_url,roster_url,team_record_2025,team_w_2025,team_l_2025,team_t_2025,name,swimcloud_url,swimcloud_50free_time,swimcloud_50free_course,swimcloud_50free_note,swimcloud_high_school,swimcloud_grad_year
2025,Stanford,Christopher Arakelian Season,,,,,,,,https://gostanford.com/sports/mens-water-polo/roster/player/christopher-arakelian,https://gostanford.com/sports/mens-water-polo/roster,,,,,Christopher Arakelian Season,,,,no_verified_candidate;tried=1,,
2025,Stanford,CJ Indart Season,,,,,,,,https://gostanford.com/sports/mens-water-polo/roster/player/cj-indart,https://gostanford.com/sports/mens-water-polo/roster,,,,,CJ Indart Season,https://www.swimcloud.com/swimmer/903326/times/,,,ok;score=4;cand=CJ Indart;tried=1;parse=not_found,(Danville),
2025,Stanford,Collin Caras Season,,,,,,,,https://gostanford.com/sports/mens-water-polo/roster/player/collin-caras,https://gostanford.com/sports/mens-water-polo/roster,,,,,Collin Caras Season,,,,no_verified_candidate;tried=1,,
2025,Stanford,Cormac Mulloy Season,,,,,,,,https://gostanford.com/sports/mens-water-polo/roster/player/cormac-mulloy,https://gostanford.com/sports/mens-water-polo/roster,,,,,Cormac Mulloy Season,,,,no_verified_candidate;tried=1,,
2025,Stanford,Daniel Mnatsakanian Season,,,,,,,,https://gostanford.com/sports/mens-water-polo/roster/player/daniel-mnatsakanian,https://gostanford.com/sports/mens-water-polo/roster,,,,,Daniel Mnatsakanian Season,,,,no_verified_candidate;tried=1,,
2025,Stanford,Gavin West Season,,,,,,,,https://gostanford.com/sports/mens-water-polo/roster/player/gavin-west,https://gostanford.com/sports/mens-water-polo/roster,,,,,Gavin West Season,https://www.swimcloud.com/swimmer/1468357/times/,21.42,SCY,ok;score=4;cand=Gavin West;tried=1;parse=ok,Home,
2025,Stanford,Gianpiero Di Martire Season,,,,,,,,https://gostanford.com/sports/mens-water-polo/roster/player/gianpiero-di-martire,https://gostanford.com/sports/mens-water-polo/roster,,,,,Gianpiero Di Martire Season,,,,no_verified_candidate;tried=1,,
2025,Stanford,Guido Leonardi Season,,,,,,,,https://gostanford.com/sports/mens-water-polo/roster/player/guido-leonardi,https://gostanford.com/sports/mens-water-polo/roster,,,,,Guido Leonardi Season,,,,no_verified_candidate;tried=1,,
2025,Stanford,Harrison Rohlen Season,,,,,,,,https://gostanford.com/sports/mens-water-polo/roster/player/harrison-rohlen,https://gostanford.com/sports/mens-water-polo/roster,,,,,Harrison Rohlen Season,https://www.swimcloud.com/swimmer/1001213/times/,23.08,SCY,ok;score=4;cand=HARRISON ROHLEN;tried=1;parse=ok,Home,
2025,Stanford,Jordan De Sousa Season,,,,,,,,https://gostanford.com/sports/mens-water-polo/roster/player/jordan-de-sousa,https://gostanford.com/sports/mens-water-polo/roster,,,,,Jordan De Sousa Season,,,,no_verified_candidate;tried=1,,
2025,Stanford,Konstantinos Mathiopoulos Season,,,,,,,,https://gostanford.com/sports/mens-water-polo/roster/player/konstantinos-mathiopoulos,https://gostanford.com/sports/mens-water-polo/roster,,,,,Konstantinos Mathiopoulos Season,,,,no_verified_candidate;tried=1,,
2025,Stanford,Max Zelikov Season,,,,,,,,https://gostanford.com/sports/mens-water-polo/roster/player/max-zelikov,https://gostanford.com/sports/mens-water-polo/roster,,,,,Max Zelikov Season,https://www.swimcloud.com/swimmer/760970/times/,21.92,SCY,ok;score=4;cand=Max Zelikov;tried=1;parse=ok,"Boca Raton, FL",
2025,Stanford,Orestis Zervoudakis Season,,,,,,,,https://gostanford.com/sports/mens-water-polo/roster/player/orestis-zervoudakis,https://gostanford.com/sports/mens-water-polo/roster,,,,,Orestis Zervoudakis Season,,,,no_verified_candidate;tried=1,,
2025,Stanford,Ryan Ohl Season,,,,,,,,https://gostanford.com/sports/mens-water-polo/roster/player/ryan-ohl,https://gostanford.com/sports/mens-water-polo/roster,,,,,Ryan Ohl Season,https://www.swimcloud.com/swimmer/1745452/times/,20.36,LCM,ok;score=4;cand=Ryan Ohl;tried=1;parse=ok,,
2025,Stanford,Simone De Vecchis Season,,,,,,,,https://gostanford.com/sports/mens-water-polo/roster/player/simone-de-vecchis,https://gostanford.com/sports/mens-water-polo/roster,,,,,Simone De Vecchis Season,,,,no_verified_candidate;tried=1,,
